"holderAddress","DEPOSIT_NECT_VAULT","DEPOSIT_iBGT_VAULT","GALXE","CUBQUEST","HOLD_GENESIS_NFT","HOLD_BERAC_POL_NFT","HOLD_BERAC_POL_2_NFT","STAKE_DIRAC_Phase_2","Stake_LP_KODIAK","STAKE_INFRARED","STAKE_BGT_STATION","TOTAL_POINTS"
"0x11ecfe1260cfe3c4ae27e579dc014ff83482d9cd",0,0,50,0,0,15,0,0,0,0,0,65
"0x0786a24145fef2c60a38237e8671332899ce7c1f",0,0,50,0,0,0,0,0,0,0,0,50
"0xb4698ef7802f11f7cc35ab42272e855fca35a54f",20,20,50,50,0,0,40,10,10,0,30,230
"0xab678725ea857a69b1733747879decc4f8b4e52c",20,0,0,50,0,30,0,0,0,0,0,100
"0x221d5ddcff331d22f4f9ac2bc1d8ab9c558dca17",20,0,0,50,0,30,0,10,0,0,0,110
"0xc26e5d0b51851d9a06c61ac84bbf1a78756f76a9",20,20,50,0,0,15,0,10,10,0,0,125
"0xe76f1230c61160206306cb55e524d5843bad697a",20,20,0,50,0,15,40,0,0,0,0,145
"0x029df4209e87663493725c70bdbd03e97d5b7c4b",20,20,50,50,0,30,40,0,0,0,0,210
"0xbe13084cea1e3c8615f781b85b995c4d95947080",0,0,50,0,0,0,0,0,0,0,0,50
"0x4e7902dc2268fdb5798a59110267d24167aff164",0,0,50,0,0,0,0,0,0,0,0,50
"0x7024d7e47d587e03e73c68888aed1949b8baa92b",0,0,50,0,0,0,0,0,0,0,0,50
"0x1b0e74a54480e282aa566611a3c873e16b397e3f",0,0,50,0,0,0,0,0,0,0,0,50
"0x18ffe0ef3ab518d59e29d672fddef0d0131578a0",20,0,50,50,0,0,0,10,10,0,0,140
"0xc502aa30e65b418b94bedebd67970c0d5a5f21f3",0,0,50,0,0,0,0,0,0,0,0,50
"0x04ccc7fa2fc600914fa95db34ab27c9437e742fd",0,0,0,50,0,15,40,0,0,0,0,105
"0x6bfa2827a2248104ce89b46fd4335e5c3285fa57",0,0,50,0,0,0,0,0,0,0,0,50
"0x97eba806ffc3ee0b18a2238934e582668e5c63cf",0,0,50,0,0,0,0,0,0,0,0,50
"0x6ef7173ba0552f8940dda4b5ea5ac48b17f8b8a2",0,0,0,50,0,0,0,0,0,0,0,50
"0xb0aca5c69ca0054f92ef49e89b4ed590391796b6",20,20,0,50,0,15,0,10,0,0,0,115
"0x38fc335d354d7df5f30207b32dd1bb593529f15b",0,0,50,0,0,0,0,0,0,0,0,50
"0xb212e85c263094dcc95fc98f646471440f0fa931",20,20,0,50,0,15,40,10,0,0,0,155
"0x7b2c77e13a88081004d0474a29f03338b20f6259",20,20,0,50,15,0,0,10,0,0,0,115
"0x8671e111d31479387f556bced483f17261de3389",20,20,0,50,0,0,0,0,0,0,0,90
"0x927923102e5119bb0df6fbb8fca9e4fafc6fe9f5",20,20,0,50,0,0,0,0,0,0,0,90
"0x15477e3b955ec7de65eef5142b50ad17326949e2",20,20,50,0,0,15,0,10,0,0,0,115
"0xa03d81c3e58fd0ed973f7b2f73f0e26bdfd0f143",20,20,50,50,0,15,0,0,0,0,0,155
"0xc948f617d092e04279d08afecaa598a8e0ed45e0",20,20,0,50,0,15,40,10,10,0,30,195
"0x2466887c5ab22f4a19828bff94ab5cdae7186ea9",0,0,0,0,0,45,0,0,0,0,0,45
"0x3094ea2500822117a3518cf76518c4f2ec1f01ca",20,20,50,50,0,15,0,10,10,0,0,175
"0x40c86feea75b54c137d432526eebdcd134a35d83",0,0,0,0,0,45,0,0,10,0,0,55
"0x06c21ede1dc352e45dfe614c8a0aa7d92fd7fdf1",20,20,50,50,0,15,40,0,0,0,0,195
"0xcb7bdb7b9ff19dda515d23a6d283cc39d4651452",20,20,50,50,0,0,0,0,0,0,0,140
"0x4be70f47a39eac265a5ccb6080c01b0ba82434c7",0,0,0,0,0,15,0,0,0,0,0,15
"0x78fec32317e524d953db63b8c9de0f1f5b131b9d",20,0,0,0,0,0,0,0,0,0,0,20
"0x77555fe71b5c55cbadcc1bfd382d112b223ddd32",20,20,50,50,0,30,0,10,0,0,0,180
"0x05f761aacd63e4e96bf98f0fe5614de5ba90856c",0,0,50,0,0,0,0,0,0,0,0,50
"0x0ee4e42b1096530f80a589cb13461930704517d0",20,20,50,50,0,0,0,0,0,0,0,140
"0x3c6f3d40b9cef4d01269cc9ec4d3a57961c56e27",0,0,0,0,0,0,0,0,10,0,0,10
"0x91f6ec3034018aa28962c51ff55ca6e173b34c89",20,20,50,50,0,0,40,10,10,0,0,200
"0xa460bb1d4aa3fe82fafc285404d5845980d2a808",20,20,50,0,0,45,0,10,10,0,0,155
"0x712ff0676164bd7b606ac26f91ea0576ad86a45c",20,20,50,50,0,15,0,0,0,0,0,155
"0xc81406b0aa2f73b763b71163a6472950eb65ac96",20,20,0,50,0,15,40,10,10,0,0,165
"0xc3d95d9a3be50dbef7fe71eca68eb7674ebf3aa8",20,20,50,50,0,0,0,10,0,0,0,150
"0x691bc3e492adc120f7941a6fd7fc5d1af3aba955",20,20,0,50,0,0,0,0,0,0,0,90
